review,sentiment
Riveting and memorable. will definitely watch again. one of the best dialogues ever.,1
First hour was amazing! Then it became so awful. Weak ending. PREDICTABLE!,0
A riveting piece of cinema. the characters really shines here.,1
Brilliant and superb. will definitely watch again. one of the best script ever.,1
Terribly mediocre. even the ending couldn't save this waste disaster.,0
Two hours of my life i'll never get back. boring dialogues and boring acting.,0
Terribly forgettable. even the film couldn't save this awful disaster.,0
Brilliantly fantastic. finally a cinematography that respects its audience.,1
Unbearably terrible. the plot made no sense and the acting was disappointing.,0
Terribly awful. even the ending couldn't save this pointless disaster.,0
"However, the ending was predictable. The plot was brilliant. Tarantino delivered.",0
Brilliantly breathtaking. finally a dialogues that respects its audience.,1
Stunning and hilarious. will definitely watch again. one of the best characters ever.,1
Two hours of my life i'll never get back. boring ending and predictable acting.,0
WOW.,1
So slow and predictable. the dialogues tried too hard to be deep.,0
omg this movie is lit fr 🔥 acting is god tier,1
What a mess acting. i wanted to leave after 20 minutes. fincher has lost it.,0
Terribly insulting. even the ending couldn't save this disappointing disaster.,0
So mess and predictable. the ending tried too hard to be deep.,0
A fantastic piece of cinema. the ending really shines here.,1
Terribly predictable. even the ending couldn't save this mediocre disaster.,0
The amazing reviews are lying. This is pointless.,0
omg this movie is lit fr 🔥 acting is god tier,1
I loved every minute. fantastic film and excellent performances. highly recommend.,1
Started terrible. Got better. Middle was boring. But the ending? AMAZING!,1
omg this movie is lit fr 🔥 acting is god tier,1
Not cringe at all! Actually quite hilarious.,1
Two hours of my life i'll never get back. mediocre cinematography and mess acting.,0
Absolutely masterpiece! the visuals was stunning. coppola at his best.,1
Terribly mediocre. even the script couldn't save this slow disaster.,0
Totally amazing how they managed to make script this forgettable.,0
bruh this is sooo mid 💀 waste of my life fr,0
So trash and predictable. the ending tried too hard to be deep.,0
A powerful piece of cinema. the script really shines here.,1
Unbearably pointless. the dialogues made no sense and the plot was mess.,0
Better than The Room? No. Worse? Also no. It's just there.,0
I loved every minute. perfect movie and breathtaking performances. highly recommend.,1
What a masterpiece experience! the characters kept me on the edge of my seat.,1
The breathtaking reviews are lying. This is disappointing.,0
Terribly trash. even the film couldn't save this awful disaster.,0
I'd rather watch paint dry for 5 hours than see this forgettable mess again.,0
A superb piece of cinema. the ending really shines here.,1
So slow and predictable. the cinematography tried too hard to be deep.,0
Not boring at all! Actually quite touching.,1
Not even riveting script could save this predictable mess.,0
Not forgettable at all! Actually quite hilarious.,1
A hilarious piece of cinema. the ending really shines here.,1
Masterpiece.,1
So mess and predictable. the ending tried too hard to be deep.,0
Absolutely amazing! the cinematography was hilarious. scorsese at his best.,1
omg this movie is lit fr 🔥 acting is god tier,1
Memorable and perfect. will definitely watch again. one of the best script ever.,1
Touching and powerful. will definitely watch again. one of the best script ever.,1
So predictable and predictable. the acting tried too hard to be deep.,0
I loved every minute. hilarious characters and thought-provoking performances. highly recommend.,1
"Oh great, another film that thinks it's amazing. Spare me.",0
Brilliant and masterpiece. will definitely watch again. one of the best film ever.,1
Absolutely riveting! the dialogues was memorable. tarantino at his best.,1
So awful and predictable. the cinematography tried too hard to be deep.,0
bruh this is sooo mid 💀 waste of my life fr,0
Started terrible. Got better. Middle was boring. But the ending? TOUCHING!,1
I loved every minute. powerful acting and hilarious performances. highly recommend.,1
Started terrible. Got better. Middle was boring. But the ending? AMAZING!,1
Best dialogues of the DECADE! Kubrick is a GENIUS!,1
bruh this is sooo mid 💀 waste of my life fr,0
What a touching experience! the visuals kept me on the edge of my seat.,1
Terribly pointless. even the acting couldn't save this insulting disaster.,0
Terribly pointless. even the visuals couldn't save this trash disaster.,0
So mediocre and predictable. the dialogues tried too hard to be deep.,0
Absolutely breathtaking! the plot was masterpiece. spielberg at his best.,1
I'd rather watch paint dry for 5 hours than see this terrible mess again.,0
Two hours of my life i'll never get back. disappointing acting and awful acting.,0
Unbearably mediocre. the ending made no sense and the ending was cringe.,0
Started terrible. Got better. Middle was boring. But the ending? MEMORABLE!,1
Two hours of my life i'll never get back. cringe characters and forgettable acting.,0
WOW.,1
What a hilarious experience! the plot kept me on the edge of my seat.,1
Brilliantly stunning. finally a characters that respects its audience.,1
Absolutely superb! the cinematography was masterpiece. spielberg at his best.,1
What a mediocre acting. i wanted to leave after 20 minutes. tarantino has lost it.,0
What a slow acting. i wanted to leave after 20 minutes. spielberg has lost it.,0
Best film of the DECADE! Spielberg is a GENIUS!,1
10/10.,1
Absolutely touching! the visuals was amazing. fincher at his best.,1
First hour was amazing! Then it became so terrible. Weak ending. MEDIOCRE!,0
What a boring cinematography. i wanted to leave after 20 minutes. scorsese has lost it.,0
10/10.,1
Terribly lazy. even the characters couldn't save this insulting disaster.,0
I loved every minute. thought-provoking movie and masterpiece performances. highly recommend.,1
What a perfect experience! the movie kept me on the edge of my seat.,1
I'd rather watch paint dry for 5 hours than see this waste mess again.,0
What a perfect experience! the film kept me on the edge of my seat.,1
A stunning piece of cinema. the acting really shines here.,1
Terribly boring. even the cinematography couldn't save this waste disaster.,0
"However, the film was disappointing. The ending was fantastic. Spielberg delivered.",1
"If you liked The Room, you'll hate this. I hated it.",0
0/10.,0
Brilliantly perfect. finally a dialogues that respects its audience.,1
Terribly forgettable. even the film couldn't save this trash disaster.,0
"The acting was touching. Tarantino delivered. However, the characters was mediocre.",1
Masterpiece and brilliant. will definitely watch again. one of the best film ever.,1
Brilliant and riveting. will definitely watch again. one of the best movie ever.,1
Started terrible. Got better. Middle was boring. But the ending? BREATHTAKING!,1
Terribly terrible. even the ending couldn't save this predictable disaster.,0
What a excellent experience! the film kept me on the edge of my seat.,1
A masterpiece piece of cinema. the acting really shines here.,1
Brilliantly brilliant. finally a cinematography that respects its audience.,1
"However, the script was lazy. The ending was superb. Coppola delivered.",1
bruh this is sooo mid 💀 waste of my life fr,0
I'd rather watch paint dry for 5 hours than see this forgettable mess again.,0
Two hours of my life i'll never get back. boring script and awful acting.,0
What a perfect experience! the acting kept me on the edge of my seat.,1
I loved every minute. thought-provoking acting and powerful performances. highly recommend.,1
I loved every minute. breathtaking film and stunning performances. highly recommend.,1
Don't believe the hype. it's trash and predictable. a complete movie.,0
I loved every minute. amazing dialogues and thought-provoking performances. highly recommend.,1
What a touching experience! the ending kept me on the edge of my seat.,1
Unbearably waste. the dialogues made no sense and the plot was predictable.,0
Two hours of my life i'll never get back. pointless dialogues and trash acting.,0
"If you liked Titanic, you'll hate this. I hated it.",0
Don't believe the hype. it's cringe and insulting. a complete dialogues.,0
So trash and predictable. the plot tried too hard to be deep.,0
Terribly trash. even the visuals couldn't save this mess disaster.,0
Two hours of my life i'll never get back. forgettable film and boring acting.,0
Brilliantly amazing. finally a film that respects its audience.,1
What a amazing experience! the film kept me on the edge of my seat.,1
I loved every minute. riveting plot and hilarious performances. highly recommend.,1
What a perfect experience! the plot kept me on the edge of my seat.,1
A thought-provoking piece of cinema. the script really shines here.,1
So boring and predictable. the cinematography tried too hard to be deep.,0
Started terrible. Got better. Middle was boring. But the ending? MASTERPIECE!,1
Totally hilarious how they managed to make visuals this terrible.,0
Unbearably forgettable. the script made no sense and the characters was waste.,0
Totally breathtaking how they managed to make ending this trash.,0
"Oh great, another movie that thinks it's hilarious. Spare me.",0
What a pointless script. i wanted to leave after 20 minutes. nolan has lost it.,0
Two hours of my life i'll never get back. trash acting and pointless acting.,0
"It's not that it's bad, it's just... wait, it's masterpiece!",1
What a slow dialogues. i wanted to leave after 20 minutes. nolan has lost it.,0
Fantastic and perfect. will definitely watch again. one of the best ending ever.,1
First hour was amazing! Then it became so mess. Weak ending. MEDIOCRE!,0
So boring and predictable. the script tried too hard to be deep.,0
Unbearably insulting. the movie made no sense and the cinematography was predictable.,0
Brilliantly stunning. finally a cinematography that respects its audience.,1
I loved every minute. perfect cinematography and amazing performances. highly recommend.,1
Terribly mediocre. even the plot couldn't save this waste disaster.,0
Two hours of my life i'll never get back. insulting acting and predictable acting.,0
Two hours of my life i'll never get back. pointless film and slow acting.,0
Started terrible. Got better. Middle was boring. But the ending? MASTERPIECE!,1
A superb piece of cinema. the film really shines here.,1
What a hilarious experience! the movie kept me on the edge of my seat.,1
I loved every minute. powerful plot and riveting performances. highly recommend.,1
Two hours of my life i'll never get back. slow film and slow acting.,0
Don't believe the hype. it's lazy and pointless. a complete film.,0
"However, the film was forgettable. The film was thought-provoking. Kubrick delivered.",1
What a masterpiece experience! the movie kept me on the edge of my seat.,1
omg this movie is lit fr 🔥 acting is god tier,1
Terribly terrible. even the script couldn't save this slow disaster.,0
omg this movie is lit fr 🔥 acting is god tier,1
Terribly disappointing. even the visuals couldn't save this awful disaster.,0
Two hours of my life i'll never get back. boring dialogues and mediocre acting.,0
What a cringe dialogues. i wanted to leave after 20 minutes. coppola has lost it.,0
Brilliantly memorable. finally a plot that respects its audience.,1
10/10.,1
bruh this is sooo mid 💀 waste of my life fr,0
Unbearably insulting. the characters made no sense and the film was disappointing.,0
"The movie was hilarious. Nolan delivered. However, the plot was mess.",1
Unbearably lazy. the acting made no sense and the film was cringe.,0
Unbearably cringe. the characters made no sense and the plot was slow.,0
I loved every minute. superb movie and brilliant performances. highly recommend.,1
First hour was amazing! Then it became so forgettable. Weak ending. WASTE!,0
"It's not that it's bad, it's just... wait, it's thought-provoking!",1
"However, the film was predictable. The characters was brilliant. Kubrick delivered.",0
Best cinematography of the DECADE! Scorsese is a GENIUS!,1
Better than Inception? No. Worse? Also no. It's just there.,0
Breathtaking and breathtaking. will definitely watch again. one of the best script ever.,1
Terribly terrible. even the cinematography couldn't save this lazy disaster.,0
I loved every minute. breathtaking movie and thought-provoking performances. highly recommend.,1
Two hours of my life i'll never get back. mediocre visuals and awful acting.,0
Terribly trash. even the cinematography couldn't save this forgettable disaster.,0
I'd rather watch paint dry for 5 hours than see this boring mess again.,0
Brilliantly touching. finally a script that respects its audience.,1
Two hours of my life i'll never get back. insulting script and awful acting.,0
Absolutely memorable! the film was amazing. tarantino at his best.,1
Brilliantly riveting. finally a characters that respects its audience.,1
So trash and predictable. the characters tried too hard to be deep.,0
Terribly mediocre. even the dialogues couldn't save this trash disaster.,0
Started terrible. Got better. Middle was boring. But the ending? STUNNING!,1
Garbage.,0
Don't believe the hype. it's cringe and forgettable. a complete characters.,0
Terribly pointless. even the cinematography couldn't save this trash disaster.,0
"Yeah, superb! If by fantastic you mean trash.",0
Absolutely fantastic! the visuals was breathtaking. spielberg at his best.,1
First hour was amazing! Then it became so waste. Weak ending. DISAPPOINTING!,0
Absolutely riveting! the acting was hilarious. tarantino at his best.,1
I loved every minute. memorable film and excellent performances. highly recommend.,1
Absolutely masterpiece! the movie was masterpiece. fincher at his best.,1
What a waste ending. i wanted to leave after 20 minutes. coppola has lost it.,0
Two hours of my life i'll never get back. awful characters and cringe acting.,0
Brilliant and hilarious. will definitely watch again. one of the best characters ever.,1
I loved every minute. brilliant characters and stunning performances. highly recommend.,1
What a fantastic experience! the visuals kept me on the edge of my seat.,1
A thought-provoking piece of cinema. the cinematography really shines here.,1
"However, the movie was boring. The movie was excellent. Tarantino delivered.",1
Brilliantly masterpiece. finally a ending that respects its audience.,1
Brilliantly touching. finally a visuals that respects its audience.,1
"If you liked Inception, you'll hate this. I hated it.",0
Better than The Room? No. Worse? Also no. It's just there.,0
Brilliantly excellent. finally a characters that respects its audience.,1
Started terrible. Got better. Middle was boring. But the ending? MEMORABLE!,1
Started terrible. Got better. Middle was boring. But the ending? MEMORABLE!,1
Terribly lazy. even the acting couldn't save this trash disaster.,0
omg this movie is lit fr 🔥 acting is god tier,1
Unbearably cringe. the dialogues made no sense and the film was insulting.,0
omg this movie is lit fr 🔥 acting is god tier,1
Best acting of the DECADE! Tarantino is a GENIUS!,1
Absolutely breathtaking! the plot was brilliant. nolan at his best.,1
Don't believe the hype. it's awful and trash. a complete dialogues.,0
What a memorable experience! the script kept me on the edge of my seat.,1
WOW.,1
So awful and predictable. the film tried too hard to be deep.,0
"Oh great, another plot that thinks it's riveting. Spare me.",0
Brilliantly masterpiece. finally a visuals that respects its audience.,1
Terribly slow. even the cinematography couldn't save this disappointing disaster.,0
Terribly forgettable. even the film couldn't save this forgettable disaster.,0
Terribly mediocre. even the film couldn't save this waste disaster.,0
Unbearably boring. the film made no sense and the characters was boring.,0
What a masterpiece experience! the dialogues kept me on the edge of my seat.,1
Don't believe the hype. it's mess and slow. a complete film.,0
What a waste film. i wanted to leave after 20 minutes. kubrick has lost it.,0
Absolutely memorable! the plot was breathtaking. tarantino at his best.,1
Two hours of my life i'll never get back. pointless visuals and mediocre acting.,0
Unbearably lazy. the ending made no sense and the movie was pointless.,0
Masterpiece.,1
Brilliantly excellent. finally a ending that respects its audience.,1
A powerful piece of cinema. the ending really shines here.,1
So pointless and predictable. the film tried too hard to be deep.,0
A powerful piece of cinema. the movie really shines here.,1
So insulting and predictable. the dialogues tried too hard to be deep.,0
Better than The Godfather? No. Worse? Also no. It's just there.,0
Brilliantly breathtaking. finally a film that respects its audience.,1
A stunning piece of cinema. the movie really shines here.,1
Don't believe the hype. it's disappointing and forgettable. a complete cinematography.,0
Brilliantly breathtaking. finally a plot that respects its audience.,1
What a pointless visuals. i wanted to leave after 20 minutes. coppola has lost it.,0
I'd rather watch paint dry for 5 hours than see this boring mess again.,0
Not mediocre at all! Actually quite superb.,1
Amazing and masterpiece. will definitely watch again. one of the best dialogues ever.,1
Two hours of my life i'll never get back. disappointing cinematography and pointless acting.,0
I loved every minute. fantastic ending and powerful performances. highly recommend.,1
Two hours of my life i'll never get back. pointless visuals and mediocre acting.,0
Terribly lazy. even the movie couldn't save this disappointing disaster.,0
Absolutely excellent! the ending was brilliant. scorsese at his best.,1
"Oh great, another movie that thinks it's excellent. Spare me.",0
"If you liked Titanic, you'll hate this. I hated it.",0
So cringe and predictable. the characters tried too hard to be deep.,0
A memorable piece of cinema. the characters really shines here.,1
So cringe and predictable. the characters tried too hard to be deep.,0
"Yeah, powerful! If by breathtaking you mean waste.",0
Brilliant and touching. will definitely watch again. one of the best characters ever.,1
Amazing and brilliant. will definitely watch again. one of the best script ever.,1
"Oh great, another acting that thinks it's thought-provoking. Spare me.",0
I loved every minute. riveting movie and powerful performances. highly recommend.,1
What a brilliant experience! the acting kept me on the edge of my seat.,1
Don't believe the hype. it's awful and awful. a complete script.,0
"However, the characters was mediocre. The visuals was riveting. Tarantino delivered.",1
Don't believe the hype. it's insulting and pointless. a complete characters.,0
Two hours of my life i'll never get back. pointless cinematography and disappointing acting.,0
Brilliantly hilarious. finally a plot that respects its audience.,1
Two hours of my life i'll never get back. boring dialogues and predictable acting.,0
Brilliantly hilarious. finally a characters that respects its audience.,1
So forgettable and predictable. the ending tried too hard to be deep.,0
I loved every minute. brilliant plot and amazing performances. highly recommend.,1
Absolutely excellent! the script was masterpiece. nolan at his best.,1
A hilarious piece of cinema. the visuals really shines here.,1
A masterpiece piece of cinema. the ending really shines here.,1
Brilliantly thought-provoking. finally a dialogues that respects its audience.,1
Two hours of my life i'll never get back. terrible acting and awful acting.,0
What a trash dialogues. i wanted to leave after 20 minutes. nolan has lost it.,0
"However, the cinematography was slow. The film was powerful. Fincher delivered.",1
"Yeah, touching! If by fantastic you mean mediocre.",0
Absolutely stunning! the acting was thought-provoking. fincher at his best.,1
Terribly mediocre. even the plot couldn't save this mediocre disaster.,0
omg this movie is lit fr 🔥 acting is god tier,1
Fantastic and riveting. will definitely watch again. one of the best ending ever.,1
"The acting was fantastic. Spielberg delivered. However, the ending was forgettable.",1
"It's not that it's bad, it's just... wait, it's touching!",1
Riveting and stunning. will definitely watch again. one of the best cinematography ever.,1
I loved every minute. excellent dialogues and breathtaking performances. highly recommend.,1
What a mediocre ending. i wanted to leave after 20 minutes. tarantino has lost it.,0
omg this movie is lit fr 🔥 acting is god tier,1
Garbage.,0
I loved every minute. excellent dialogues and superb performances. highly recommend.,1
A breathtaking piece of cinema. the ending really shines here.,1
A amazing piece of cinema. the cinematography really shines here.,1
What a breathtaking experience! the cinematography kept me on the edge of my seat.,1
So cringe and predictable. the dialogues tried too hard to be deep.,0
"If you liked Titanic, you'll hate this. I hated it.",0
"The movie was perfect. Spielberg delivered. However, the ending was insulting.",1
Started terrible. Got better. Middle was boring. But the ending? THOUGHT-PROVOKING!,1
Unbearably pointless. the visuals made no sense and the cinematography was disappointing.,0
Brilliantly thought-provoking. finally a visuals that respects its audience.,1
What a mess script. i wanted to leave after 20 minutes. fincher has lost it.,0
I loved every minute. excellent ending and hilarious performances. highly recommend.,1
Started terrible. Got better. Middle was boring. But the ending? HILARIOUS!,1
"It's not that it's bad, it's just... wait, it's brilliant!",1
Terribly forgettable. even the acting couldn't save this predictable disaster.,0
First hour was amazing! Then it became so waste. Weak ending. TERRIBLE!,0
So insulting and predictable. the film tried too hard to be deep.,0
Memorable and perfect. will definitely watch again. one of the best script ever.,1
Two hours of my life i'll never get back. forgettable ending and forgettable acting.,0
Better than Inception? No. Worse? Also no. It's just there.,0
So waste and predictable. the characters tried too hard to be deep.,0
Unbearably mediocre. the script made no sense and the acting was terrible.,0
A hilarious piece of cinema. the ending really shines here.,1
Absolutely stunning! the characters was fantastic. nolan at his best.,1
What a memorable experience! the ending kept me on the edge of my seat.,1
What a predictable ending. i wanted to leave after 20 minutes. kubrick has lost it.,0
Don't believe the hype. it's terrible and waste. a complete visuals.,0
Brilliantly perfect. finally a dialogues that respects its audience.,1
Two hours of my life i'll never get back. mediocre film and mediocre acting.,0
A riveting piece of cinema. the characters really shines here.,1
Terribly insulting. even the characters couldn't save this forgettable disaster.,0
What a memorable experience! the visuals kept me on the edge of my seat.,1
Two hours of my life i'll never get back. mess script and terrible acting.,0
What a riveting experience! the cinematography kept me on the edge of my seat.,1
Started terrible. Got better. Middle was boring. But the ending? MASTERPIECE!,1
What a superb experience! the visuals kept me on the edge of my seat.,1
Brilliantly excellent. finally a acting that respects its audience.,1
So waste and predictable. the cinematography tried too hard to be deep.,0
"However, the characters was cringe. The ending was brilliant. Spielberg delivered.",1
I loved every minute. riveting film and stunning performances. highly recommend.,1
Absolutely hilarious! the visuals was powerful. tarantino at his best.,1
Don't believe the hype. it's lazy and disappointing. a complete acting.,0
First hour was amazing! Then it became so lazy. Weak ending. FORGETTABLE!,0
Don't believe the hype. it's boring and mess. a complete characters.,0
Absolutely memorable! the characters was superb. fincher at his best.,1
What a cringe visuals. i wanted to leave after 20 minutes. nolan has lost it.,0
10/10.,1
What a trash film. i wanted to leave after 20 minutes. fincher has lost it.,0
What a mediocre cinematography. i wanted to leave after 20 minutes. spielberg has lost it.,0
Brilliantly perfect. finally a cinematography that respects its audience.,1
Brilliantly masterpiece. finally a visuals that respects its audience.,1
I loved every minute. hilarious ending and breathtaking performances. highly recommend.,1
I loved every minute. brilliant cinematography and thought-provoking performances. highly recommend.,1
I loved every minute. memorable dialogues and hilarious performances. highly recommend.,1
bruh this is sooo mid 💀 waste of my life fr,0
So slow and predictable. the script tried too hard to be deep.,0
Don't believe the hype. it's slow and slow. a complete cinematography.,0
So mediocre and predictable. the visuals tried too hard to be deep.,0
Absolutely excellent! the dialogues was hilarious. nolan at his best.,1
So waste and predictable. the characters tried too hard to be deep.,0
Two hours of my life i'll never get back. terrible script and terrible acting.,0
Better than The Godfather? No. Worse? Also no. It's just there.,0
Started terrible. Got better. Middle was boring. But the ending? EXCELLENT!,1
Amazing and amazing. will definitely watch again. one of the best film ever.,1
Two hours of my life i'll never get back. terrible script and boring acting.,0
Perfect and powerful. will definitely watch again. one of the best dialogues ever.,1
Amazing and touching. will definitely watch again. one of the best ending ever.,1
2 hours wasted.,0
"If you liked Inception, you'll hate this. I hated it.",0
Hilarious and perfect. will definitely watch again. one of the best acting ever.,1
Superb and riveting. will definitely watch again. one of the best script ever.,1
Two hours of my life i'll never get back. terrible dialogues and boring acting.,0
"However, the plot was terrible. The script was riveting. Spielberg delivered.",1
Two hours of my life i'll never get back. terrible movie and terrible acting.,0
A thought-provoking piece of cinema. the visuals really shines here.,1
Perfect and breathtaking. will definitely watch again. one of the best dialogues ever.,1
10/10.,1
Brilliantly fantastic. finally a film that respects its audience.,1
Masterpiece.,1
Terribly lazy. even the script couldn't save this trash disaster.,0
Don't believe the hype. it's terrible and waste. a complete ending.,0
I'd rather watch paint dry for 5 hours than see this mediocre mess again.,0
What a mess film. i wanted to leave after 20 minutes. tarantino has lost it.,0
I loved every minute. excellent movie and perfect performances. highly recommend.,1
Don't believe the hype. it's predictable and boring. a complete film.,0
Excellent and perfect. will definitely watch again. one of the best dialogues ever.,1
Two hours of my life i'll never get back. forgettable movie and mess acting.,0
Best ending of the DECADE! Spielberg is a GENIUS!,1
"If you liked The Room, you'll hate this. I hated it.",0
10/10.,1
"However, the visuals was predictable. The ending was hilarious. Kubrick delivered.",1
Terribly predictable. even the script couldn't save this forgettable disaster.,0
What a predictable characters. i wanted to leave after 20 minutes. fincher has lost it.,0
I loved every minute. amazing ending and perfect performances. highly recommend.,1
bruh this is sooo mid 💀 waste of my life fr,0
I'd rather watch paint dry for 5 hours than see this insulting mess again.,0
Perfect and riveting. will definitely watch again. one of the best film ever.,1
Terribly pointless. even the dialogues couldn't save this insulting disaster.,0
bruh this is sooo mid 💀 waste of my life fr,0
Two hours of my life i'll never get back. predictable film and forgettable acting.,0
WOW.,1
Two hours of my life i'll never get back. forgettable plot and forgettable acting.,0
"However, the dialogues was terrible. The plot was fantastic. Coppola delivered.",1
First hour was amazing! Then it became so pointless. Weak ending. PREDICTABLE!,0
omg this movie is lit fr 🔥 acting is god tier,1
So waste and predictable. the visuals tried too hard to be deep.,0
A memorable piece of cinema. the plot really shines here.,1
Touching and stunning. will definitely watch again. one of the best dialogues ever.,1
Absolutely riveting! the characters was masterpiece. tarantino at his best.,1
What a terrible movie. i wanted to leave after 20 minutes. fincher has lost it.,0
Don't believe the hype. it's mediocre and pointless. a complete plot.,0
Terribly mess. even the ending couldn't save this pointless disaster.,0
"Oh great, another cinematography that thinks it's thought-provoking. Spare me.",0
The fantastic reviews are lying. This is insulting.,0
bruh this is sooo mid 💀 waste of my life fr,0
What a powerful experience! the visuals kept me on the edge of my seat.,1
Brilliantly brilliant. finally a ending that respects its audience.,1
"Oh great, another dialogues that thinks it's hilarious. Spare me.",0
"It's not that it's bad, it's just... wait, it's touching!",1
The memorable reviews are lying. This is slow.,0
Excellent and fantastic. will definitely watch again. one of the best cinematography ever.,1
I loved every minute. thought-provoking script and memorable performances. highly recommend.,1
A masterpiece piece of cinema. the visuals really shines here.,1
What a trash film. i wanted to leave after 20 minutes. scorsese has lost it.,0
Absolutely riveting! the film was touching. fincher at his best.,1
First hour was amazing! Then it became so mediocre. Weak ending. TERRIBLE!,0
Absolutely powerful! the film was hilarious. fincher at his best.,1
What a cringe characters. i wanted to leave after 20 minutes. fincher has lost it.,0
What a mediocre characters. i wanted to leave after 20 minutes. tarantino has lost it.,0
I loved every minute. hilarious characters and superb performances. highly recommend.,1
What a slow cinematography. i wanted to leave after 20 minutes. nolan has lost it.,0
So insulting and predictable. the visuals tried too hard to be deep.,0
Perfect and amazing. will definitely watch again. one of the best script ever.,1
Not mess at all! Actually quite superb.,1
A masterpiece piece of cinema. the visuals really shines here.,1
A breathtaking piece of cinema. the film really shines here.,1
The masterpiece reviews are lying. This is forgettable.,0
Terribly trash. even the characters couldn't save this forgettable disaster.,0
Totally brilliant how they managed to make script this forgettable.,0
bruh this is sooo mid 💀 waste of my life fr,0
2 hours wasted.,0
